dt,source,domain,url,title,summary,image,brief,body,raw_page,from
2016-10-10,360doc,,http://www.360doc.com/content/16/1010/15/28029384_597353740.shtml,听张脉贤先生说徽文化,,," 在赭山公园边市徽商博物馆随园小坐，高低错落的粉墙黛瓦下面竹树掩映着，明窗净
几的茶座，依次有几个徽州来的客人。桌上有香茗缭绕，翠生生 ",,,
2016-6-17,360doc,,http://www.360doc.com/content/16/0617/22/7794234_568642540.shtml,没有徽州哪来安徽，哪来“徽文化”？,,," 没有徽州哪来安徽，哪来“徽文化”？ 5月28日，为黄山复名徽州疾呼18年的著名作家
、《人民日报》高级编辑李辉，在合肥举行“为何呼吁恢复徽州 ",,,
2016-4-22,360doc,,http://www.360doc.com/content/16/0422/21/7839659_552956008.shtml,也说徽州｜徽文化：中国封建社会后期的典型标本,,," 徽文化包含了中国传统社会中的民间经济、社会生活与文化等基本内容，被誉为中国
封建社会后期的典型标本。 古徽州浓郁的人文气息，就像一个 ",,,
2016-5-20,360doc,,http://www.360doc.com/content/16/0520/14/4602914_560710378.shtml,徽文化之旅（皖南行之一）,,," 徽文化之旅（皖南行之一）. 几十年间，我曾到过安徽不少城市和名胜。耄耋之年的老
两口尚有一个梦，就是逛一趟皖南的老城和古村镇，实地领略赫赫 ",,,
2013-11-30,360doc,,http://www.360doc.com/content/13/1130/15/137012_333421761.shtml,徽文化,,," 徽文化积淀深厚,普通旅游者对很多徽州文化旅游景点捉摸不透, 走马观花看“热闹”, 
看不出多少“门道”。导游员作为传播文化的大使和桥梁,应该对徽州 ",,,
2016-3-29,360doc,,http://www.360doc.com/content/16/0329/23/150887_546398070.shtml,《徽州文化大辞典》首发徽文化首部百科全书式工具书问世,,," 首发式现场. 黄山新闻网3月29日讯（凌子慧）徽州文化，是中国三大地域文化之一。
学术界对其的研究，至少经历了大半个世纪，被誉为是并列与藏学 ",,,
2016-6-25,360doc,,http://www.360doc.com/content/16/0625/19/2794318_570702823.shtml,徽文化的一朵奇葩------旌德,,," G. ANYUJINGDE. 徽文化. 旌德位于皖南腹地，西倚黄山,全县面积904.8平方公里，
辖9镇1乡，人口15.2万。建置于唐宝应二年（763），时属宣州。",,,
2016-4-27,360doc,,http://www.360doc.com/content/16/0427/13/32759971_554221669.shtml,徽州文化,,," 徽州文化内涵丰富，在各个层面、各个领域都形成了独特的流派和风格。如新安理学、
徽派朴学、新安医学、新安画派、徽派版画、徽派篆刻、徽剧、徽 ",,,
2013-11-30,360doc,,http://www.360doc.com/content/13/1130/15/137012_333423074.shtml,徽文化特点是什么？,,," 作为一个区域文化的特征，它所表现的是这个区域文化在一个时代由其特殊的精神
需要、精神状态和精神力量所构成的精神特征。徽文化精神在历史 ",,,
2015-4-27,360doc,,http://www.360doc.com/content/15/0427/23/13477377_466473215.shtml,【日本家徽文化】详解,,," 随着时代的变迁，家徽也留下了各个时代的痕迹。家徽种类逐渐增多，本身的内涵也
由简单趋于复杂，家徽充分体现了不同时期的日本人的文化心理 ",,,
2016-10-15,360doc,,http://www.360doc.com/content/16/1015/00/5545997_598514013.shtml,古徽州文化旅游,,," 古徽州文化旅游区位于徽文化发祥地安徽省黄山市，由徽州古城、牌坊群鲍家花园、
唐模、潜口民宅、呈坎五大精品景区组成，北依黄山，南接千岛湖。",,,
2015-1-5,360doc,,http://www.360doc.com/content/15/0105/23/13276094_438495373.shtml,关于率先启动徽州文化生态保护实验区建设的建议案,,," 2008年元月，文化部批复“同意在安徽省黄山市、绩溪县和江西省婺源县设立'徽州
文化生态保护实验区'”。这是全国第二个国家级文化生态保护区。",,,
2013-11-30,360doc,,http://www.360doc.com/content/13/1130/15/137012_333422706.shtml,“徽文化”2,,," 一、何为徽文化？ 要把这个概念搞清楚，首先要搞清何为徽州？何为文化？二者一
清楚，徽文化的含义就出来了。 何为徽州？我们这里讲的徽州已经 ",,,
2013-11-30,360doc,,http://www.360doc.com/content/13/1130/15/137012_333420327.shtml,谈谈徽文化研究的现实意义,,," 古徽州历史悠久,人文荟萃,是中国明清时期徽商和徽文化的发祥地,这里真实地记录
着中国明清时期徽州经济、文化、社会、发展的特点，蕴含着中国 ",,,
2013-11-30,360doc,,http://www.360doc.com/content/13/1130/15/137012_333420737.shtml,徽州文化,,," 徽州文化是历史上的徽州（前称新安郡）人民在长期的社会实践中所创造的物质财富
和精神财富的总和，无论在器物文化层面、制度文化层面，还是在 ",,,
2016-3-25,360doc,,http://www.360doc.com/content/16/0325/14/4958641_545143866.shtml,徽州文化博物馆,,," 安徽中国徽州文化博物馆为安徽省第二大综合性博物馆， 也是国内唯一全面体现
徽州文化主题的博物馆。馆址坐落在黄山市屯溪机场迎宾大道南侧， ",,,
2015-01-07,360doc,,http://www.360doc.com/content/15/0107/11/3133160_438838920.shtml,南京周园之八徽文化体验中心,,,南京周园之八徽文化体验中心.,,,
2015-5-26,360doc,,http://www.360doc.com/content/15/0526/02/18960088_473267356.shtml,石与刀的碰撞：凝固徽文化符号的徽州石雕,,," 徽州石雕作为徽州一个富有特定生命意义的艺术形式，与传统的徽州砖雕、木雕、
竹雕并称“徽州四雕”，是徽派建筑精美细节的完美体现。中国网图片 ",,,
2016-8-8,360doc,,http://www.360doc.com/content/16/0808/18/11005683_581737708.shtml,国家最新AAAAA级景区——徽州文化园,,," 徽州文化园设计为徽派园林，以碑廊、碑亭、碑墙、碑园为主线，通过紫阳书院、徽商
纪念馆、新安书画苑、古徽四宝斋、徽戏楼、徽菜馆、徽茶品茗阁、 ",,,
2009-10-29,360doc,,http://www.360doc.com/content/09/1029/11/385412_8030999.shtml,徽文化系列之——东南邹鲁”今何在,,," 东南邹鲁”今何在. ——恢复“古徽州一府六县建制”与徽州文化生态保护区. 早在
秦始皇时代（公元前221—前209），在徽州这块土地上，就有了黟（黝）、 ",,,
2014-11-25,360doc,,http://www.360doc.com/content/14/1125/10/5896561_427879912.shtml,9家国家5A级旅游景区名单公示古徽州文化旅游区上榜,,," 2014.11月21日，国家旅游局官方网站公示了9家国家5A级旅游景区名单，黄山市古
徽州文化旅游区上榜，这也意味着我省5A级景区数量有望达到8 ",,,
2016-3-14,360doc,,http://www.360doc.com/content/16/0314/11/10580899_542068671.shtml,看徽州文化旅游区如何探索全域旅游,,," 如何在推进全域旅游的过程中，让旅游者在短的时间内体验文化最优秀的成分，是
资源所有者、经营者、规划者面临的重大问题。徽文化区在推进全域 ",,,
2015-10-6,360doc,,http://www.360doc.com/content/15/1006/13/14979747_503596273.shtml,论明清徽州文化的阶段性发展,,," 摘要:徽州文化是中国传统社会后期既有典型性、又具普遍意义的地域文化。明清两代
是徽州文化发展的鼎盛时期,该时期徽州文化发展经历了四个 ",,,
2016-8-3,360doc,,http://www.360doc.com/content/16/0803/14/150887_580483445.shtml,走进黄山徽州文化园,,," 走进黄山徽州文化园. 徽州文化园位于被誉为“天下第一奇山”的黄山旅游风景规划
区域内，是上海、杭州、南京、合肥、千岛湖、黄山“名城、名水、名湖、 ",,,
2012-8-11,360doc,,http://www.360doc.com/content/12/0811/09/8413713_229534334.shtml,安徽徽文化慱物馆古代大型砚台展,,," 明砚 清代 [转载]2011年中国安徽徽文化慱物馆古代大型砚台迎春 明代 [转载]2011年
中国安徽徽文化慱物馆古代大型砚台迎春 明 [转载]2011年中国 ",,,
