url,title,segment,target,source
http://cul.anhuinews.com/system/2009/03/13/002225498.shtml,安徽最小的楼阁式古塔：利辛纪家塔-利辛纪家塔-中安在线-徽文化,"安徽 最 小 的 楼阁 式 古塔 ： 利辛 纪家塔 - 利辛 纪家塔-
",0,solr
http://cul.anhuinews.com/system/2009/03/18/002228116.shtml,黄山徽州区建“徽文化风景”桥-徽文化-中安在线-徽文化,"黄山 徽州区 建 “ 徽 文化 风景 ” 桥 -
",1,solr
http://cul.anhuinews.com/system/2009/04/13/002240613.shtml,《淮军》举行研讨会-淮军-中安在线-徽文化,"《 淮 军 》 举行 研讨会 - 淮 军 -
",0,solr
http://cul.anhuinews.com/system/2009/05/05/002251489_01.shtml,我是安徽徽州人――胡适的一生-胡适-中安在线-徽文化,"我 是 安徽 徽州 人 ―― 胡 适 的 一生 - 胡 适 -
",1,solr
http://cul.anhuinews.com/system/2009/06/04/002268103.shtml,《西游记》作者是古徽州人唐皋？-西游记-中安在线-徽文化,"《 西游记 》 作者 是 古 徽州 人 唐皋 ？ - 西游记 -
",1,solr
http://cul.anhuinews.com/system/2009/06/04/002268114.shtml,新安医学许思文与《黑罗痧问答认》-新安医学-中安在线-徽文化,"新安 医学 许 思文 与 《 黑罗痧 问答 认 》 - 新安 医学 -
",1,solr
http://cul.anhuinews.com/system/2009/06/15/002274925.shtml,徽州民歌唱响文化遗产日-徽州民歌-中安在线-徽文化,"徽州 民歌 唱 响 文化 遗产 日 - 徽州 民歌 -
",1,solr
http://cul.anhuinews.com/system/2009/07/02/002286964.shtml,从邓小平吃徽菜谈起 -徽菜-中安在线-徽文化,"从 邓 小平 吃 徽菜 谈 起 - 徽菜 -
",1,solr
http://cul.anhuinews.com/system/2009/07/20/002299306.shtml,人间至味毛豆腐-徽菜-中安在线-徽文化,"人间 至 味 毛 豆腐 - 徽菜 -
",1,solr
http://cul.anhuinews.com/system/2009/07/20/002299320.shtml,过年吃“年年糕”的习俗 徽文化频道 中安在线,"过年 吃 “ 年年 糕 ” 的 习俗
",0,solr
http://cul.anhuinews.com/system/2009/07/20/002299321.shtml,清代皇族过年习俗：鸣炮祭灶吃饺子 徽文化频道 中安在线,"清代 皇族 过年 习俗 ： 鸣炮 祭 灶 吃 饺子
",0,solr
http://cul.anhuinews.com/system/2009/07/29/002305965.shtml,盛夏品黄山“三石” 徽文化频道 中安在线,"盛夏 品 黄山 “ 三 石 ”
",0,solr
http://cul.anhuinews.com/system/2009/09/07/002332504.shtml,用镜头纪录最美的黄山 徽文化频道 中安在线,"用 镜头 纪录 最 美 的 黄山
",0,solr
http://cul.anhuinews.com/system/2009/09/14/002337414.shtml,严阵：使命感是“诗人的灵魂” 徽文化频道 中安在线,"严 阵 ： 使命感 是 “ 诗人 的 灵魂 ”
",0,solr
http://cul.anhuinews.com/system/2009/12/03/002466049.shtml,"“文化休宁”首次登上北京文博会 -文博会,-中安在线-徽文化","“ 文化 休宁 ” 首 次 登 上 北京 文博会 - 文博 会 , -
",1,solr
http://cul.anhuinews.com/system/2010/03/01/002683837.shtml,又到义写春联时-书法-中安在线-徽文化,"又 到 义 写 春联 时 - 书法 -
",0,solr
http://cul.anhuinews.com/system/2010/04/12/002796460.shtml,32、举人并非唯亲-老M神侃-中安在线-徽文化,"32 、 举人 并非 唯亲 - 老M 神侃 -
",0,solr
http://cul.anhuinews.com/system/2010/04/12/002796473.shtml,30、怕的是：日计有余，岁计不足-老M神侃-中安在线-徽文化,"30 、 怕 的 是 ： 日 计 有余 ， 岁 计 不足 - 老M 神侃 -
",0,solr
http://cul.anhuinews.com/system/2010/04/12/002796475.shtml,29、办事成本高乎哉？-老M神侃-中安在线-徽文化,"29 、 办事 成本 高 乎 哉 ？ - 老M 神侃 -
",0,solr
http://cul.anhuinews.com/system/2010/04/12/002796544.shtml,19、大山深处的灯光-老M神侃-中安在线-徽文化,"19 、 大山 深处 的 灯光 - 老M 神侃 -
",0,solr
http://cul.anhuinews.com/system/2010/04/12/002796568.shtml,15、有时候凭威信 有时候凭德行-老M神侃-中安在线-徽文化,"15 、 有 时候 凭 威信 有时候 凭 德行 - 老M 神侃 -
",0,solr
http://cul.anhuinews.com/system/2010/04/12/002796578.shtml,10、秘书也是个“腕儿”-老M神侃-中安在线-徽文化,"10 、 秘书 也 是 个 “ 腕儿 ” - 老M 神侃 -
",0,solr
