url,title,topic
http://cul.anhuinews.com/system/2009/04/09/002239073.shtml,汪氏后裔品披云徽府菜――越国公宴-徽菜-中安在线-徽文化,6
http://cul.anhuinews.com/system/2009/07/01/002285894.shtml,李鸿章大杂烩与八公山豆腐排-徽菜-中安在线-徽文化,6
http://cul.anhuinews.com/system/2009/07/14/002294737.shtml,"徽派版画雕刻-徽派版画,徽学流派-中安在线-徽文化",3
http://cul.anhuinews.com/system/2009/10/20/002359814.shtml,砚雕造神奇 访徽州民间工艺大师王祖伟-大师-中安在线-徽文化,0
http://cul.anhuinews.com/system/2014/04/17/006395382.shtml,徽州区民俗文物博物馆建成免费开放 徽文化频道 中安在线,18
http://cul.anhuinews.com/system/2014/05/06/006419312.shtml,中国徽州文化博物馆举办“文玩薮聚――文房用品展” 徽文化频道 中安在线,18
http://www.ahage.net/huangmei/27009.html,黄梅剧《徽州往事》女主人公敍事抒情（三）：秋月_我的网站,0
http://www.ahage.net/huidiao/12166.html,木雕大师王金生_我的网站,17
http://www.ahage.net/huidiao/27924.html,钟馗造像与汪氏一门——谨以此文纪念一位徽州木雕老者_我的网站,17
http://www.ahage.net/huidiao/6643.html,歙县著名的碑刻_我的网站,9
http://www.ahage.net/huishang/22285.html,一个抗战时期徽州茶商经营状况的典型个案_我的网站,0
http://www.ahage.net/lunwen/22349.html,明清时期闽西客家与徽州移民宗族传承中原传统文化的比较_我的网站,1
http://www.ahage.net/lvyou/6962.html,休宁县古迹一览_我的网站,7
http://www.ahage.net/mingren/31499.html,朱伟：让竹木雕刻放异彩_安徽文化网 | 安徽文化人的网上家园，网上最大的安徽历史文化资料中心 ahage.net,17
http://www.ahage.net/photo/25220.html,民国时期的休宁中学（老照片）_我的网站,15
http://cul.anhuinews.com/system/2014/10/15/006570795.shtml,2014中国黟县摄影大展11月8日-12日举行 徽文化频道 中安在线,18
http://cul.anhuinews.com/system/2016/07/01/007398475.shtml,[中央人民广播电台]青瓦白墙梦徽州(组图) 中安在线-徽文化频道,15
http://cul.anhuinews.com/system/2016/07/25/007418940.shtml,纪念红军长征胜利80周年主题展突出安徽特色 中安在线-徽文化频道,5
http://cul.anhuinews.com/system/2016/10/14/007481751.shtml,借鉴古黟传统廉政楹联 弘扬徽州优秀廉政文化 中安在线-徽文化频道,1
http://www.ahage.net/chawenhua/287.html,带着诗意泡沫的徽州茶_我的网站,0
http://www.ahage.net/fengsu/23167.html,黟县美溪龙灯_我的网站,18
http://www.ahage.net/fengsu/23318.html,休宁县流口镇民俗风情_我的网站,7
http://www.ahage.net/huishang/5332.html,徽州人为什么“十三四岁，往外一丢”？_我的网站,0
http://www.ahage.net/huixue/200.html,徽学漫议(什么是徽学)_我的网站,12
http://cul.anhuinews.com/system/2009/10/21/002361344.shtml,徽州的儿子――章飚-画家-中安在线-徽文化,0
http://cul.anhuinews.com/system/2014/01/02/006254188.shtml,新安画派--祁门历代书画家概说-徽文化-中安在线,4
http://cul.anhuinews.com/system/2014/01/15/006274458.shtml,竹刻骄子 非遗传人――记黄山市政协委员洪建华-徽文化-中安在线,13
http://cul.anhuinews.com/system/2016/09/29/007472978.shtml,屯溪吊狮 中安在线-徽文化频道,15
http://cul.anhuinews.com/system/2014/02/21/006321465.shtml,《徽商情缘》 徽文化频道 中安在线,2
http://cul.anhuinews.com/system/2008/01/15/001932691.shtml,"徽学百家――汪机-徽学百家,汪机-中安在线-徽文化",4
http://cul.anhuinews.com/system/2008/03/11/001966946.shtml,"祁红工夫-祁红工夫,安徽名茶-中安在线-徽文化",5
http://cul.anhuinews.com/system/2008/04/02/001983886.shtml,休宁松萝-休宁松萝简介-中安在线-徽文化,16
http://cul.anhuinews.com/system/2008/08/18/002093338.shtml,宣纸登奥的背后故事-宣纸-中安在线-徽文化,18
http://cul.anhuinews.com/system/2009/02/19/002211752.shtml,“徽州文化生态保护区”拟签约-徽州-中安在线-徽文化,0
http://cul.anhuinews.com/system/2008/01/15/001932432.shtml,"中国文联送欢乐到安徽绩溪-文联,绩溪-中安在线-徽文化",16
http://cul.anhuinews.com/system/2008/02/28/001958481.shtml,"踏青好去处，婺源乡村游 在婺源感受徽文化-婺源,徽文化-中安在线-徽文化",10
http://cul.anhuinews.com/system/2008/03/10/001965769.shtml,大量迁沪徽派古宅仍“散架”-徽派建筑-中安在线-徽文化,3
http://cul.anhuinews.com/system/2008/05/14/002013950.shtml,八台大戏尽展徽风皖韵 -徽商大会-中安在线-徽文化,2
http://cul.anhuinews.com/system/2008/06/05/002031365.shtml,徽茶进京庆奥运将启动-雾里青-中安在线-徽文化,18
http://cul.anhuinews.com/system/2008/06/13/002037712.shtml,杀年猪-绩溪风俗-中安在线-徽文化,16
http://cul.anhuinews.com/system/2008/06/13/002038118.shtml,了解绩溪：绩溪历史文化-绩溪-中安在线-徽文化,16
http://cul.anhuinews.com/system/2008/08/04/002082188.shtml,“新合肥菜”跻身徽菜主流-徽菜-中安在线-徽文化,6
http://cul.anhuinews.com/system/2008/08/22/002098070.shtml,"黄杨木：徽州后花园-洪建华,竹雕-中安在线-徽文化",0
http://cul.anhuinews.com/system/2008/08/22/002098073.shtml,"笔筒农家乐-洪建华,竹雕-中安在线-徽文化",17
http://cul.anhuinews.com/system/2008/08/22/002098140.shtml,"金星紫擅：事事如意-洪建华,竹雕-中安在线-徽文化",17
http://cul.anhuinews.com/system/2008/08/27/002101901.shtml,"笔架：对弈-洪建华,竹雕-中安在线-徽文化",17
http://cul.anhuinews.com/system/2008/08/28/002102651.shtml,歙县金滩徽文化生态园项目成功落地-徽文化-中安在线-徽文化,9
http://cul.anhuinews.com/system/2008/10/06/002129650.shtml,状元故里休宁县笑迎四方来客-休宁-中安在线-徽文化,12
http://www.ahage.net/chawenhua/6557.html,歙县茶园垦辟与管理_我的网站,9
http://www.ahage.net/lunwen/19577.html,绩溪人无需与他人“争夺”胡雪岩_我的网站,16
http://www.ahage.net/lunwen/22258.html,胡适之“徽州的背景”——上庄文化生态_我的网站,11
http://cul.anhuinews.com/system/2008/06/13/002037629.shtml,绩溪名人：胡雪岩-胡雪岩简介-中安在线-徽文化,16
http://cul.anhuinews.com/system/2008/08/22/002097888.shtml,"徽派竹刻传承人：洪建华-洪建华,竹雕-中安在线-徽文化",3
http://cul.anhuinews.com/system/2008/09/16/002118044.shtml,新安医学：在继承与创新中发展-新安医学-中安在线-徽文化,4
http://www.ahage.net/fengsu/242.html,【徽州方言】——十里不同音_我的网站,0
http://www.ahage.net/fengyun/10694.html,安徽近代战事——太平军战事_我的网站,5
http://www.ahage.net/huangshan/22381.html,徽州地震史话_我的网站,0
http://www.ahage.net/huangshan/23165.html,黟县美溪村名小考_我的网站,18
http://cul.anhuinews.com/system/2009/07/24/002302904.shtml,两地书：从敦煌到徽州-徽州-中安在线-徽文化,0
