url,domain,title,segment,target
http://cul.anhuinews.com/system/2009/03/05/002221273.shtml,qq.com,"第十六章(2)-月上重火,连载,阅读-中安在线-徽文化",【 徽州 】 《 梦里徽州 —— 新安江 风情 画卷 》,1
http://cul.anhuinews.com/system/2009/03/05/002221275.shtml,qq.com,"第十六章(1)-月上重火,连载,阅读-中安在线-徽文化",古村 的 梦 —— 古建筑 博物馆,1
http://cul.anhuinews.com/system/2009/03/05/002221276.shtml,qq.com,"第十五章(4)-月上重火,连载,阅读-中安在线-徽文化",苞芦松 | 传承 四百 年 的 徽州 小 食,1
http://cul.anhuinews.com/system/2009/03/05/002221277.shtml,qq.com,"第十五章(3)-月上重火,连载,阅读-中安在线-徽文化",【 徽州 大家 谈 】 墨客 典籍 与 现代 生活 的 交融地,1
http://cul.anhuinews.com/system/2009/03/05/002221278.shtml,qq.com,"第十五章(2)-月上重火,连载,阅读-中安在线-徽文化",【 徽州 大家 谈 】 时代 呼唤 中华 商魂 —— 我 所 知 的 徽商,1
http://cul.anhuinews.com/system/2009/03/05/002221281.shtml,qq.com,"第十四章(2)-月上重火,连载,阅读-中安在线-徽文化",徽州 的 图腾,1
http://cul.anhuinews.com/system/2009/03/05/002221288.shtml,qq.com,"第十三章(4)-月上重火,连载,阅读-中安在线-徽文化",【 徽州 大家 谈 】 渐行渐远 徽州 传说 之 —— 汪道昆,1
http://cul.anhuinews.com/system/2009/03/05/002221290.shtml,qq.com,"第十三章(2)-月上重火,连载,阅读-中安在线-徽文化",【 徽州 大家 谈 】 渐行渐远 徽州 传说 之 —— 朱升,1
http://cul.anhuinews.com/system/2009/03/05/002221292.shtml,qq.com,"第十三章(1)-月上重火,连载,阅读-中安在线-徽文化",【 古徽州 】 徽州 民居 的 动 与 静,1
http://cul.anhuinews.com/system/2009/03/09/002222697.shtml,qq.com,老人冬季少喝茶 喝茶最好放红枣-喝茶-中安在线-徽文化,【 徽州 大家 谈 】 渐行渐远 徽州 传说 之 —— 江昌燕,1
http://cul.anhuinews.com/system/2009/03/09/002222702.shtml,qq.com,黄山银钩 徽文化频道 中安在线,【 古徽州 】 有 一 种 乡村 老 记忆 ： 徽州 老 豆腐,1
http://cul.anhuinews.com/system/2009/03/09/002222704.shtml,qq.com,泾县特尖-名茶-中安在线-徽文化,【 牛哥 说 事 】 年味,1
http://cul.anhuinews.com/system/2009/03/09/002222763.shtml,qq.com,“喜酒不醉人”的俗语由来-酒-中安在线-徽文化,溪流 无 岁月 堤树 有 春秋,1
http://cul.anhuinews.com/system/2009/03/09/002222863.shtml,qq.com,徽雕技艺代代传-徽雕-中安在线-徽文化,你们 的 小年 在 今天 ， 徽州 的 小年 却 是 明天,1
http://cul.anhuinews.com/system/2009/03/09/002222982.shtml,qq.com,"第十九章(1)-月上重火,连载,阅读-中安在线-徽文化",【 徽州 大家 谈 】 屯安东 ： 茶务 都会 —— 屯溪,1
http://cul.anhuinews.com/system/2009/03/10/002223645.shtml,qq.com,"第四章(14)-高管,连载,闻雨-中安在线-徽文化",【 徽州 大家 谈 】 徽州 人 对 君子 文化 的 弘扬,1
http://cul.anhuinews.com/system/2009/03/10/002223646.shtml,qq.com,"第四章(13)-高管,连载,闻雨-中安在线-徽文化",【 徽州百村 】 烟雨 迷蒙 中 的 虹关村,1
http://cul.anhuinews.com/system/2009/03/10/002223647.shtml,qq.com,"第四章(12)-高管,连载,闻雨-中安在线-徽文化",舌尖 上 的 徽州 （ 41 ） 令 人 趋之若鹜 的 徽州 古镇 馄饨 挑,1
http://cul.anhuinews.com/system/2009/03/10/002223648.shtml,qq.com,"第四章(11)-高管,连载,闻雨-中安在线-徽文化",徽州 万象 ｜ 打 ！ 食 ！ 桃 ？,1
http://cul.anhuinews.com/system/2009/03/10/002223653.shtml,qq.com,"第四章(8)-高管,连载,闻雨-中安在线-徽文化",婺源 茶 ， 闻 之 心醉 ， 品 之 弥 香,1
http://cul.anhuinews.com/system/2009/03/10/002223661.shtml,qq.com,"第四章(7)-高管,连载,闻雨-中安在线-徽文化",祁门 有 个 董家湾 ， 那里 不止 有 诗意 ， 更 是 一 处 纯净 心灵 的 圣地,1
http://cul.anhuinews.com/system/2009/03/10/002223672.shtml,qq.com,"第四章(5)-高管,连载,闻雨-中安在线-徽文化",【 古徽州 】 绩溪龙川 ， 一个 传说 中 的 风水宝地 ！,1
http://cul.anhuinews.com/system/2009/03/10/002223674.shtml,qq.com,"第四章(3)-高管,连载,闻雨-中安在线-徽文化",【 徽州 文化 】 傩戏,1
http://cul.anhuinews.com/system/2009/03/10/002223676.shtml,qq.com,"第四章(2)-高管,连载,闻雨-中安在线-徽文化",【 徽州百村 】 渐行渐远 徽州 山村 之 —— 历溪,1
http://cul.anhuinews.com/system/2009/03/10/002223683.shtml,qq.com,"第三章(10)-高管,连载,闻雨-中安在线-徽文化",徽州 四 大 行业 之 四 —— 木商,1
http://cul.anhuinews.com/system/2009/03/10/002223685.shtml,qq.com,"第三章(9)-高管,连载,闻雨-中安在线-徽文化",徽州 · 前世 今生,1
http://cul.anhuinews.com/system/2009/03/10/002223689.shtml,qq.com,"第三章(6)-高管,连载,闻雨-中安在线-徽文化",家 在 祁门 桃源 里,1
http://cul.anhuinews.com/system/2009/03/10/002223690.shtml,qq.com,"第三章(5)-高管,连载,闻雨-中安在线-徽文化",网友 自制 大片 《 徽州 画卷 》 ， 每 一 帧 美 的 都 可以 做 壁纸,1
http://cul.anhuinews.com/system/2009/03/10/002223693.shtml,qq.com,"第三章(3)-高管,连载,闻雨-中安在线-徽文化",你 不 知道 的 那些 古 民居 建筑,1
http://cul.anhuinews.com/system/2009/03/10/002223697.shtml,qq.com,"第二章(7)-高管,连载,闻雨-中安在线-徽文化",【 徽州 人 说 徽州 】 山 为邻 水 为 友 古村 老宅 皆 有 情,1
http://cul.anhuinews.com/system/2009/03/10/002223699.shtml,qq.com,"第二章(6)-高管,连载,闻雨-中安在线-徽文化",婺源 石城 的 美 除了 秋天 ， 还有 你 从未 见 过 的 春天 。,1
http://cul.anhuinews.com/system/2009/03/10/002223700.shtml,qq.com,"第二章(5)-高管,连载,闻雨-中安在线-徽文化",徽州 这里 的 深秋 不 需要 美 图 ， 路人 甲 也 秒 变 摄影师 ！,1
http://cul.anhuinews.com/system/2009/03/10/002223702.shtml,qq.com,"第二章(3)-高管,连载,闻雨-中安在线-徽文化",歙县 英 坑 ： 栗树 园里 银杏 黄 ， 黑 瓦白墙乡 思 染,1
http://cul.anhuinews.com/system/2009/03/10/002223704.shtml,qq.com,"第二章(2)-高管,连载,闻雨-中安在线-徽文化",徽州 难 觅 “ 潘金莲 ”,1
http://cul.anhuinews.com/system/2009/03/10/002223705.shtml,qq.com,"第二章(1)-高管,连载,闻雨-中安在线-徽文化",安徽 现存 最 古老 的 牌坊 —— 歙县郑村 “ 贞白里坊 ”,1
http://cul.anhuinews.com/system/2009/03/10/002223707.shtml,qq.com,"第一章(8)-高管,连载,闻雨-中安在线-徽文化",呼唤 徽州 之 —— 绩溪篇,1
http://cul.anhuinews.com/system/2009/03/10/002223713.shtml,qq.com,"第一章(6)-高管,连载,闻雨-中安在线-徽文化",茶语 生活 | 祁红 创始 的 传奇 故事 （ 连载 之 八 ）,1
http://cul.anhuinews.com/system/2009/03/10/002223715.shtml,qq.com,"第一章(5)-高管,连载,闻雨-中安在线-徽文化",【 旅游 文化 】 中国 古建筑 ： 惊艳 世界 的 美 ！,1
http://cul.anhuinews.com/system/2009/03/10/002223719.shtml,qq.com,"第一章(1)-高管,连载,闻雨-中安在线-徽文化",呼唤 徽州 之 —— 婺源 篇,1
http://cul.anhuinews.com/system/2009/03/11/002224198.shtml,qq.com,金寨革命烈士陵园被列为省级文化保护单位-金寨-中安在线-徽文化,本末 演义 亦 文亦史,1
http://cul.anhuinews.com/system/2009/03/12/002225037.shtml,qq.com,"《我要的幸福》 好朋友(4)-我要的幸福,连载,阅读-中安在线-徽文化",徽州 木雕,1
http://cul.anhuinews.com/system/2009/03/12/002225038.shtml,qq.com,"《我要的幸福》 好朋友(3)-我要的幸福,连载,阅读-中安在线-徽文化",徽州 石雕,1
http://cul.anhuinews.com/system/2009/03/12/002225048.shtml,qq.com,"《我要的幸福》 红线(6)-我要的幸福,连载,阅读-中安在线-徽文化",徽州 砖雕,1
http://cul.anhuinews.com/system/2009/03/12/002225052.shtml,qq.com,"《我要的幸福》 红线(4)-我要的幸福,连载,阅读-中安在线-徽文化",徽州 最 美 十 大 古镇,1
http://cul.anhuinews.com/system/2009/03/12/002225054.shtml,qq.com,"《我要的幸福》 红线(3)-我要的幸福,连载,阅读-中安在线-徽文化",桃源 古巷 私语,1
