url,token title,flag
http://cul.anhuinews.com/system/2009/05/05/002251489_01.shtml,"我 是 安徽 徽州 人 ―― 胡 适 的 一生 - 胡 适 -
",1
http://cul.anhuinews.com/system/2009/07/20/002299320.shtml,"过年 吃 “ 年年 糕 ” 的 习俗
",0
http://cul.anhuinews.com/system/2009/09/07/002332504.shtml,"用 镜头 纪录 最 美 的 黄山
",0
http://cul.anhuinews.com/system/2010/03/01/002683837.shtml,"又 到 义 写 春联 时 - 书法 -
",0
http://cul.anhuinews.com/system/2010/04/12/002796475.shtml,"29 、 办事 成本 高 乎 哉 ？ - 老M 神侃 -
",0
http://cul.anhuinews.com/system/2010/04/12/002796614.shtml,"7 、 不要 以为 “ 干 好 了 就 不 是 人 ” - 老M 神侃 -
",0
http://cul.anhuinews.com/system/2010/11/17/003469618.shtml,"赖 少 其 艺术馆 入选 《 中国 美术馆 概览 》 - 美术馆 -
",0
http://cul.anhuinews.com/system/2011/01/22/003693773.shtml,"《 牛郎织女 》 精彩 剧照 --
",0
http://cul.anhuinews.com/system/2011/05/04/004006879.shtml,"美丽 - 苏北 -
",0
http://cul.anhuinews.com/system/2012/10/16/005259884.shtml,"2012 全国 黄梅戏 广播 大赛 上海 开赛 - 黄梅戏 -
",0
http://cul.anhuinews.com/system/2013/11/19/006211510.shtml,"走 进 博物馆 留住 最 美 的 秋天 童话 记忆 - 博物馆 -
",0
http://cul.anhuinews.com/system/2014/06/30/006472720_01.shtml,"漫漫 古 皖道
",0
http://www.ahage.net/html/shiping/31841_3.html,"台儿庄 大捷 壮烈 ： 无 墙 不 饮弹 无土 不 沃 血 ( 3 )
",0
http://www.ahage.net/huidiao/27103.html,"彭 劲杰 与 木雕 的 二十 年 “ 不 了 情 ”
",1
http://www.ahage.net/huixue/21962.html,"徽州 民间 文献 与 历史 地理 研究
",1
http://www.ahage.net/jiyi/30419.html,"口述 历史 ： 一 位 女 知青 的 两 次 “ 下放 ”
",0
http://www.ahage.net/news/30392.html,"潜山县 激发 非 遗 传承 活力 开创 发展 新 篇章
",0
http://www.ahage.net/news/32159.html,"蒙城县 文化馆 “ 周末 大 舞台 ” 走 进 社区
",0
http://www.ahage.net/photo/12963.html,"老 照片 ： 省 博物馆 的 合肥 工厂 展位
",0
http://www.ahage.net/wenxian/12135.html,"安徽省 第三 届 人民代表大会
",0
http://www.ahage.net/wenxian/24718.html,"中国 共产党 合肥市 委员会 关于 出版 《 合肥 日报 》 的 决定
",0
http://www.ahage.net/wx/30028.html,"坊 问 之一 ： 桑拿浴 里 收 银行卡
",0
http://www.ahage.net/zhuanti/hzjs/16061.html,"搓 鞋绳
",0
http://www.ahage.net/zhuanti/hzjs/28645.html,"最后 的 老 手艺 —— 打 豆腐
",0
http://cul.anhuinews.com/system/2014/07/21/006492194.shtml,"潜山县 “ 张恨水 纪念馆 ” 开馆
",0
http://cul.anhuinews.com/system/2016/01/11/007171288.shtml,"国家级 非物质 文化 遗产 项目 : 花鼓 灯
",0
http://cul.anhuinews.com/system/2016/04/12/007301705.shtml,"安徽 逾 3000亿 元 文化 项目 全球 招商 频道
",0
http://cul.anhuinews.com/whxw/,"-
",0
http://www.ahage.net/chuzhou/30716.html,"逛 滁州
",0
http://www.ahage.net/culture/31385.html,"岳西县 非 遗 馆 镇 馆 之宝 : 四百 年 前 竹 衣 降温 隔 汗
",0
http://www.ahage.net/gudaimingren/10030.html,"刘 温卿
",0
http://www.ahage.net/gudaimingren/17472.html,"南宋 书法 大家 —— 张 即之
",0
http://www.ahage.net/hefei/12305.html,"基督教 在 合肥 发展 传播 的 简史
",0
http://www.ahage.net/his/oldphoto/29208.html,"为了 这 张 “ 艺术照 ” 用掉 半 个 月 零花钱
",0
http://www.ahage.net/huicai/23325.html,"休宁县 流 口 镇 特色 产品 风物 录 （ 茗洲 茗茶篇 ）
",1
http://www.ahage.net/lunwen/4941.html,"刍议 历史 与 现实 观照 下 的 徽州 文化
",0
http://www.ahage.net/mingren/26474.html,"我 父亲 的 名片 5 个 字 ： “ 刘 文典 合肥 ”
",0
http://cul.anhuinews.com/system/2008/01/15/001932580.shtml,"吴 亚玲 - 吴 亚玲-
",0
http://cul.anhuinews.com/system/2012/09/14/005214069.shtml,"欧阳 修 《 宿 云梦 馆 》 诗意 （ 1991）--
",0
http://cul.anhuinews.com/system/2012/09/27/005238778.shtml,"亚明 作品 9--
",0
http://cul.anhuinews.com/system/2014/03/25/006364595.shtml,"徽州 贡 菊
",1
http://cul.anhuinews.com/system/2015/03/25/006730312.shtml,"精彩 少儿 图书 推荐
",0
http://cul.anhuinews.com/system/2015/04/23/006769944.shtml,"中国 葡萄酒 首 登 世界 顶级 豪华 邮轮
",0
http://cul.anhuinews.com/system/2016/01/12/007173180.shtml,"国家级 非物质 文化 遗产 : 文南词
",0
http://www.ahage.net/chawenhua/24603.html,"东至 茶文化 拾萃
",0
http://www.ahage.net/chawenhua/32081.html,"冰岛 茶 的 史诗
",0
http://www.ahage.net/gudaimingren/27536.html,"李 承先
",0
