,delta,price,year,odometer,title,city
46,144.646785277,3250,1995,182940.0,"Toyota 4runner SR5 1995 (New engine w/ 20,600 miles on it)",5
47,123.6818191,6500,2007,138000.0,2007 Prius,5
48,337.731402841,5000,1991,120000.0,91 toyota supra,5
49,1019.81995008,6200,2003,114000.0,2003 Totota Avalon,5
50,-4136.69128271,33000,2014,28000.0,2014 Toyota Tundra TRD SR5,5
51,-3628.95104764,10000,2006,120000.0,"Price Reduced !!!! 2006 TACOMA, was $11,500 NOW $10,000 or OBO",5
52,-259.215728455,2520,1994,173000.0,"****1994 Toyota pickup truck only 173k miles, manual transmission ****",5
53,285.457878259,12500,2010,45500.0,2010 Prius IV (4) model,5
54,-3536.25138929,19200,2011,36000.0,2011 Toyota Tacoma Doublecab 4x4 TRD OFF ROAD,5
55,2397.64813052,13800,2012,95200.0,2012 TOYOTA CAMRY SE,5
56,1119.67389174,13200,2006,156405.0,2006 Toyota Tundra TRD Access Cab,5
57,295.804779438,6500,2007,143000.0,2007 Toyota Camry,5
58,10630.9006334,24500,2010,123000.0,2010 Toyota Tundra Limited Crewmax,5
59,582.539638676,7900,2008,117000.0,2008 Toyota Solara-Reduced!,5
60,-222.190459908,1200,1996,122000.0,1996 Toyota Camry,5
61,-275.392558268,16200,2014,32000.0,2014 TOYOTA CAMRY SE,5
62,-1212.3464594,25000,2014,25000.0,2014 Toyota Tacoma,5
63,-97.6932306383,9000,2010,53000.0,"2010 toyota corolla 53,000mi",5
64,2995.32700994,6100,1994,160000.0,1994 Toyota Pickup XtraCab w/ Wildernest Topper,5
65,2853.22889046,8995,2003,112000.0,2003 Highlander Limited V6 AWD,5
66,1168.57625406,3950,2000,172000.0,"Super clean 2000 Toyota Camry LE, New timing belt! Looks/Runs great!",5
67,5562.18825247,29900,2013,66000.0,2013 TRD Toyota Tacoma 4x4 Nav/camera,5
68,-481.231148058,600,1992,169999.0,1992 Toyota Previa,5
69,999.151064851,9000,2010,134000.0,2010 Prius,5
70,2760.95828384,12950,2008,94000.0,Impeccable 2008 Toyota RAV4 4WD,5
71,-882.003585187,1700,1999,167090.0,99 Toyota Camry LE,10
72,-577.731376107,9500,2006,146000.0,06 Toyota Tundra v8 king cab,10
73,429.479129458,4300,2002,58899.0,2002 TOYOTA COROLLA LOW LOW MILES,10
74,-18.9249671304,13900,2011,53500.0,2011 Toyota Prius 53k smart key etc warranty extended prepaid mainten,10
75,-6558.10853592,19800,2013,41000.0,2013 TOYOTA TACOMA V6 PRERUNNER,10
76,112.922384646,4500,2005,159000.0,Clean,10
77,731.014900616,18495,2015,14000.0,2015 TOYOTA CAMRY SE *New Generation*,10
78,303.78870652,9900,2002,148026.0,Toyota Landcruiser,10
79,1083.27369504,7999,2005,129000.0,2005 TOYOTA RAV4,10
80,604.840361654,11999,2010,79000.0,''SAVE GAS'' 2010 TOYOTA PRIUS,10
81,631.55226788,2900,1998,174374.0,***1998 Toyota Camry Le***,10
82,815.617690682,10400,2009,68000.0,Toyota camry 2009LE,10
83,-852.569588497,2000,1994,163000.0,Toyota UTL,10
84,210.916537379,5300,2004,142200.0,"***2004 Toyota Prius - 50 MPG, JBL, NAVI, Excellent CONDITION***",10
85,-78.4128407339,5990,2007,94799.0,Clean Title 2007 Toyota Yaris,10
86,-202.864009081,6000,2004,73300.0,2004 Toyota Camry Clean Title Low Miles,10
87,-1198.89074075,13900,2010,50000.0,"VERY CLEAN 2010 TOYOTA HIGHLANDER.... 7 SEATS .... ONLY 50,000 MILES",10
88,577.742227656,4000,1996,180000.0,96 Toyota tacoma,10
89,-275.735039105,9000,2009,15000.0,2009 Toyota Matrix S,10
90,-23.0016041223,12300,2014,45000.0,>>> 2014 Toyota Corolla L <<<<<,10
91,-956.959089291,7750,2007,75000.0,"2007 Toyota Prius Hybrid. Only 75,000 miles. New Tires. Clean Title",10
92,2891.94140064,19995,2008,80000.0,Toyota 4 runner for sale,10
93,-141.281918388,1300,1996,120000.0,1996 Toyota Camry LE,10
94,282.415902652,3000,1998,97000.0,1998 Camry LE sedan,10
95,452.704924362,3300,1998,171450.0,1998 Toyota Avalon XL,10
96,269.944081359,6890,2010,133600.0,2010 Corolla,10
97,1431.27345388,7500,2007,108000.0,2007 toyota corolla S 108k miles,10
98,-2659.23997385,7500,2010,55000.0,Toyota Yaris 2010 Sedan - 55000 miles,10
99,732.522021758,6400,2007,186700.0,Toyota Prius 2007 HYBRID,10
100,793.204029511,6900,2006,129000.0,2006 Toyota Prius Hybrid,10
101,170.209424227,3200,1999,100000.0,1999 Toyota Camry,10
102,568.263194389,4995,2003,139000.0,2003 Toyota Prius Gas/Electric Hybrid (42 MPG),10
103,-82.9304298872,4700,2002,79000.0,2002 toyota camry,10
104,1196.09224541,6500,2006,175000.0,2006 Toyota Prius $6500 obo,10
105,305.776316282,3900,2001,140000.0,2001 Toyota Camry- Gallery Series,10
106,-1539.35397487,5350,2008,97500.0,2008 toyota corolla le,10
107,-408.780256029,7500,2007,107782.0,2007 TOYOTA SIENNA LE,10
108,-3202.96369539,10000,2011,61500.0,2011 Toyota Camry - Good condition!,10
109,-647.519561146,12500,2014,12000.0,"TOYOTA COROLA '''sport ''' LOW MILES,,,",10
110,1355.59302005,21999,2015,14778.0,2015 TOYOTA RAV4 XLE SILVER,10
111,6346.71893746,25000,2014,6600.0,Camry HYBRID XLE 2014 6000 mile,10
112,261.231667154,1900,1997,180000.0,Toyota Camry,10
113,-162.046094651,5900,2005,106000.0,2005 Toyota Camry LE,10
114,-2804.64913036,9500,2014,30800.0,2014 toyota corolla,10
115,-6660.10268005,14500,2009,81000.0,2009 Toyota Tacoma Access Cab,10
116,182.405177585,2200,1996,3000.0,Toyota avalon 3.0 v6,10
117,-237.175872023,4500,2005,189000.0,Toyota Camry 05,10
118,1658.24747912,12750,2010,67000.0,"2010 Toyota Prius III - clean, low miles - fully loaded",10
119,-1258.9104046,4717,2005,105000.0,2005 Toyota Prius Hybrid with package #6,10
120,1292.42393099,12500,2005,125150.0,2005 Toyota Sequioa,10
121,237.29961302,17999,2015,10122.0,2015 Toyota Camry LE Black,10
122,5252.476322,24900,2010,62000.0,2010 Limited Edition RBP Toyota Tacoma PreRunner,10
123,755.624186621,7000,2005,98000.0,Toyota camry 2005,10
124,399.963887045,4500,2003,132000.0,2003 TOTOTA CAMRY LE -- Silver-Auto-4cyl-Clean Title-,10
125,901.459804599,9000,2008,98000.0,"2008 TOYOTA PRIUS, 2nd OWNER LOW MILES",10
126,-409.033898675,7950,2006,177000.0,"2006 Toyota 4 Runner, SR5, black, 2wd, clean title",10
127,-518.921195613,1200,1998,154450.0,98 T0Y0TA COROLLA,10
128,-2013.33783103,3800,2006,106500.0,2006 Corolla Firm,10
129,-2113.21229884,11999,2015,25877.0,2015 TOYOTA YARIS LE RED HETCH BACK,10
130,1168.38024808,11000,2009,79000.0,2009 Toyota Camry SE,10
131,-1216.52137933,4300,2006,187123.0,2005 toyota avalon,10
132,-252.888110092,6900,2006,95928.0,2006 Toyota Camry LE 96K Miles Original Owner,10
133,1762.92581858,13999,2013,49000.0,2013 Toyota Corolla FOR SALE!!!,10
134,1761.92581858,13998,2013,49000.0,2013 White Toyota Corolla S Sedan 4D Excellent Condition,10
135,-852.02498385,4200,2004,98000.0,**2004 Toyota Corolla CE Low Miles**,10
136,930.589332615,8500,2007,113000.0,"2007 Toyota Camry Hybrid, 113k miles, loaded package with every option",10
137,-853.630535699,5500,2007,133000.0,2007 toyota camry,10
138,285.457878259,12500,2010,45500.0,2010 Toyota Prius,10
139,47.1022453103,7399,2009,128650.0,2009 Toyota camry !!!!REDUCED!!!!,10
140,-4056.59039409,13199,2013,25000.0,2013 Prius C Habanero Orange,10
141,-602.578689941,17999,2015,6893.0,2015 TOYOTA CAMRY LE GREY CLEAN TITLE,10
142,-2300.33779096,11999,2012,38175.0,2012 Toyota Camry,10
143,1683.86156169,6500,2005,126000.0,TOYOTA COROLLA S ** clean title **,19
144,759.099441365,3900,1999,133243.0,Toyota Coupe SOLARA HARD TO FIND,19
145,-82.2799657921,2100,2000,125000.0,Toyota Corolla 2000,19
146,-1209.9067722,26000,2014,11100.0,2014 Toyota Sienna XLE,19
147,1836.61028271,19500,2012,45500.0,RAV4 XLE All Wheel Drive,19
148,-129.512237073,4650,2005,127700.0,2005 Toyota Corolla S - 127K,19
149,-418.191289481,950,1994,183500.0,1994 Toyota Camry (mechanic special),19
150,821.266101346,11600,2004,126000.0,2004 Tacoma 4X4 5-Speed,19
151,-89.9696736668,1500,1992,188198.0,toyota,19
152,2480.58973884,16500,2005,85100.0,Toyota Tacoma,19
153,1093.79496721,7700,2008,157000.0,TOYOTA PRIUS 2008 HIBRID FOR SALE,19
154,-1824.43814604,12000,2007,120000.0,2007 5.7 tundra 9 ft with racks,19
155,147.619212894,5000,2002,84000.0,02 Toyota echo like new,19
156,957.000287387,7250,2008,174160.0,2008 Toyota Prius Touring Clean Title,19
157,1596.55154178,4900,2000,130000.0,"Toyota Avalon 2000 XL Sedan, Lowest millage Cheap obo",19
158,-383.823442124,7499,2008,58100.0,2008 Toyota Yaris 4dr 58k ml gas saver reliable sedan,19
159,-1113.78206729,6800,2009,118000.0,2009 TOYOTA CAMRY LE,19
160,435.784817388,22200,2011,48000.0,2011 Toyota Venza Fully Loaded,19
161,2135.80811826,6500,2001,153500.0,2001Toyota Sequoia Clean Title,19
162,-189.041716164,10000,2008,87300.0,2008 Toyota Rav4 2WD V6 Limited,19
163,1609.26375289,7500,2004,114000.0,2004 Toyota Camry XLE 4dr 4 cylinder Blue!,19
164,-974.388428536,5500,2004,84400.0,TOYOTA AVALON XL 2004 sacramento,19
165,-574.067028095,5900,2007,132500.0,2007 Toyota Prius,19
166,-287.026712167,1500,1998,147700.0,1998 Toyota Corola,19
167,1175.22100218,38500,2015,10368.0,2015 Toyota Tundra 4x4 TRD Off-Road,19
168,1347.87173762,5200,2003,138400.0,2003 Toyota Corolla S,19
169,-1243.59219997,3600,2002,185111.0,2002 TOYOTA SEQUOIA SR5,19
170,-111.105666071,3700,2003,180000.0,2003 Toyota prius,19
171,-1074.28977137,6750,2010,91984.0,2010 Toyota Corolla LE,19
172,1337.67500811,10500,2010,44874.0,2010 Toyota Corolla-Clean Title~44k~OBO,19
173,-1371.62690282,8000,2008,77000.0,"2008 Toyota Camry LE, LOW MILES, Great Condition .",19
174,-3373.54796855,8300,2012,46141.0,2012 Toyota Yaris,19
175,8566.40582103,25000,2010,142000.0,2010 toyota tacoma 4x4 4 door with 6in pro comp lift,19
176,-1423.79595768,7300,2009,84000.0,2009 TOYOTA PRIUS HYBRID GPS BLUETOOTH ONLY 84K MILES,19
177,3640.52284269,8900,2002,120000.0,2002 Toyota Highlander AWD V6 Limited Champagne,19
178,656.409797849,7800,2006,121700.0,2006 TOYOTA SIENNA LE,19
179,1058.38602352,3800,1998,158630.0,1998 Toyota Sienna,19
180,801.636731821,26000,2011,54300.0,2011 Toyota Tacoma Double cab w/ Extras!!,19
181,368.840285881,2500,1994,123000.0,"Toyota Camry 123,000 miles",19
182,525.532590082,5900,2005,103000.0,Clean title ! 2005 Toyota Corolla CE ! 103k miles only!,19
183,855.307548329,9500,2011,100000.0,2011 Toyota Corolla LE Sedan 4D! Clean title! 100k miles only!,19
184,-431.102465011,16000,2006,84253.0,"2006 Toyota Tacoma access cab, immaculate, low mileage",19
185,-1499.10840817,16800,2015,4000.0,"2015 Toyota Prius Hybrid , Pearl White!",19
186,-1042.31272971,5400,2005,93000.0,Toyota prius,19
187,-620.518273741,3500,2003,144100.0,03 toyota prius,19
188,-9.67880802979,3700,2004,185000.0,2004 Toyota Corolla,19
189,236.008813072,13950,2007,130000.0,2007 Toyota Sequoia Limited- Only 130k mi,19
190,203.863737056,4900,2004,189000.0,2004 Toyota Avalon XLS - Sedan 4D! Clean title! 189k miles only!,19
191,-149.934112936,5500,2006,186000.0,2006 TOYOTA SIENNA LE (AWD),19
192,1259.53946118,3600,2001,162000.0,Toyota Corolla S Limited 2001,19
193,309.754895685,4300,2002,168237.0,Toyota camry for sale,19
194,10544.4273577,16500,2007,104000.0,Toyota FJ Crusier,19
195,463.675601353,2500,1993,158000.0,1993 toyota corolla,19
196,-889.448297201,8800,2009,75000.0,2009 Toyota Camry LE for sale,19
197,1722.23362197,9500,2001,175000.0,2001 Toyota Tacoma Prerunner Xtra cab v6 Auto,19
198,1911.64141751,7600,2006,21000.0,2006 Toyota Corolla LE****LOW MILEAGE****,19
199,-287.956914702,1500,1999,180000.0,Toyota Corolla 1999,19
200,-990.490123921,25000,2014,26588.0,2014 Toyota Tacoma 4x4 Navi,19
201,-1830.2915349,8200,2010,88000.0,2010 TOYOTA CAMRY,19
202,333.579915198,5550,2005,145014.0,Toyota Camry 2005,19
203,-4851.5743868,10500,2013,63000.0,2013 Toyota Prius,19
204,1258.3914166,17999,2007,91500.0,Toyota Tundra 2007 crew cab 91k miles,19
205,41.8974878853,8500,2005,85771.0,2005 Toyota Highlander V6,19
206,613.751040827,4500,2002,145900.0,Toyota Solara Coupe 2002,19
207,5220.17848957,15750,2008,57600.0,2008 Toyota Avalon Limited LOW MILES GRANDPA'S CAR ** LIKE NEW**!!,19
208,-802.16094453,3200,2001,116999.0,"2001 Toyota Solara,",19
209,1200.94864892,5900,2001,94000.0,Toyota Avalon 2001,19
210,-971.447643946,9800,2004,58800.0,04 Toyota Tundra,19
211,1518.55140116,14900,2012,56147.0,2012 Toyota Camry SE,19
212,300.595850051,6800,2004,90000.0,TOYOTA MATRIX XR 2004,19
213,1279.01367491,6500,2006,140000.0,2006 toyota corolla le white,19
214,1268.82361961,5600,2002,109644.0,2002 camry LE 2.4 L,19
215,3489.35580772,18500,2012,43000.0,2012 Toyota Prius III,19
216,1185.53360916,11299,2011,75400.0,Excellent condition Clean title Toyota Corolla 2011,19
217,-2246.35330036,10000,2010,85000.0,"2010 Toyota Sienna LE, 85k miles",19
218,-297.77064471,10900,2011,97000.0,2011 Toyota Camry LE 4 cylinder Gas saver!,19
219,3901.88676139,13000,2004,170000.0,2004 Toyota Tacoma TRD Pre-Runner,19
220,-170.641127256,4550,2002,102000.0,2002 Toyota Solara,19
221,1495.50440212,5900,2003,112000.0,"2003 Toyota Corolla le 112,000 miles",19
222,422.581271342,19900,2015,4700.0,Prius II,23
223,3089.88708698,13500,2012,25700.0,Toyota Corolla 2012 LE Metallic Gray,23
224,1947.55864359,5300,1997,174000.0,toyota 4Runner 4x4,23
225,1587.30328385,10000,2006,109000.0,*2006 Silver Toyota Highlander *,23
226,790.243759043,19950,2005,168000.0,2005 toyota tacoma double cab 4x4,23
227,-284.807052809,4800,2006,122000.0,toyota corolla 2006 LE or Best offer,23
228,724.97283827,3300,1999,158000.0,Toyota Camry(99) For Sale,23
229,2659.04659691,37000,2012,37000.0,2012 Toyota Tundra Crew Max 4WD 5.7L V8 Platinum Edition,23
230,2738.9747206,40000,2015,2800.0,2015 Toyota Tacoma TRD PRO,23
231,-1345.21180391,7500,2007,66070.0,Toyota Solara 2007 V6 SLE Convertible Black Salvage,23
232,-15.1010781963,4550,2005,144000.0,Toyota Corolla 2005 original owner,23
233,1066.2519148,52900,2015,2886.0,"Lifted 2015 Toyota Tundra 4X4, TRD, Crew Max, Limited Edition",23
234,-727.794827279,4500,2005,147578.0,TOYOTA CAMRY 2005,23
235,-550.811799177,5300,2008,138000.0,2008 toyota corolla,23
236,7855.38710774,27000,2013,22000.0,2013 Toyota Avalon Hybrid Limited,23
237,2433.86207595,6500,2003,149900.0,2003 Toyota Camry Great Condition,23
238,235.839386099,10000,2009,77500.0,"IMMACULATE 09 Camry, 1 owner, 77k orig miles, well maintained",23
239,227.974895132,4600,2003,90000.0,2003 Toyota Corolla,23
240,944.532033945,7900,2009,155000.0,Priuss,23
241,848.986249976,16500,2012,41151.0,2012 Rav4 LOW MILES like new!,23
242,2077.73867399,12500,2002,106000.0,"02 Toyota Tacoma TRD Extra cab -106000 Miles-Great Condition,1-Owner",23
243,2433.86207595,6500,2003,149000.0,2003 Toyota Camry Great Condition,23
244,-217.136397554,4200,2005,166234.0,Toyota Corolla S,23
245,4270.3781164,13500,2002,146000.0,"2002 Toyota Tacoma TRD 4Doors V6,Perfect Condition,Low miles",23
246,947.943431844,7500,2005,100000.0,2005 Toyota Sienna LE - Silver color,23
247,1824.55592896,7500,2004,138600.0,Well Maintained 2004 Toyota Sienna LE,23
248,1199.13196745,6300,1999,169439.0,1999 toyota 4runner 4x4 limited,23
249,786.636778547,3200,2000,189000.0,Owner,23
250,-382.823442124,7500,2008,58100.0,2008 Toyota Yaris 4dr 58k ml AT gas saver excellent car,23
251,117.73048342,2800,2000,158000.0,Toyota camry 2000,23
252,270.716513447,5415,2004,123211.0,2004 Toyota Prius Sedan (Navigation/Clean Title/Runs Excellent),23
253,641.253280651,2700,1997,166232.0,1997 toy Avalon,23
254,-458.513892311,13500,2010,52000.0,2010 Toyota RAV4 Base 4Dr SUV - 52K - CLEAN TITLE,23
255,5467.33788607,16000,2008,36000.0,2008 Toyota Rav4 rav-4 v6 awd 4wd low miles capable 4dr fully loade,23
256,513.304402072,13250,2011,72000.0,2011 Toyota Camry (SE) - with PINK SLIP in hand!!!,23
257,176.998395878,12500,2013,37837.0,Excellent Condition & Like New 2013 Toyota Corolla S,23
258,516.775790895,9100,2009,75000.0,"2009 Toyota Corolla LE, 75.000 miles, clean title",23
259,2095.14838081,10850,2009,92000.0,2009 toyota camry hybrid with leather navigation moonroof & low miles,23
260,244.562043074,6895,2004,77000.0,2004 Toyota Matrix 77k very low miles clean title,23
261,-232.010424471,4400,1991,70000.0,1991 toyota motor home,23
262,-1646.53742751,2500,2003,153000.0,03 Toyota Sienna,23
263,1887.00261083,6900,2005,158700.0,"2005 Toyota Camry LE, Clean Title",23
264,1175.22100218,38500,2015,10368.0,2015 Tundra Crewmax TRD OFF-ROAD 4x4,23
265,-4076.97165126,4500,2010,120200.0,2010 toyota prius richmond for parts,23
266,85.5164520091,1700,1996,156000.0,1996 Toyota Camry,23
267,262.319156653,3555,2001,141900.0,***___*** Toyota solara ,23
268,748.718009856,9800,2007,61457.0,2007 Toyota Camry Hybrid - original owner,23
269,-666.469636226,7500,2006,68000.0,Toyota Camry 2006 LOW MILEAGE,23
270,-432.283405008,2350,1993,127000.0,93 Toyota Tersel,23
271,247.524252927,2100,1994,187000.0,1994 Toyota pickup truck - Automatic transmission - V6 motor - clean,23
272,339.188471956,7500,2008,88000.0,"2008 Toyota Corolla matrix xr, Clean title",23
273,-2111.81463719,6100,2008,92000.0,Happy Holidays! 2008 Prius,23
274,-526.875232914,5500,2004,110657.0,2004 Toyota Sienna XLE,23
275,-5049.63598265,4900,2004,156000.0,2004 TOYOTA TACOMA,23
276,2187.61508126,6300,2003,128000.0,Toyota camry 2003 for sale,23
277,199.269178176,6900,2007,125000.0,2007 Toyota Prius pkg 6,23
278,365.910573561,6200,2002,162000.0,2002 toyota highlander clean title excellent condition,23
279,665.623581468,13000,2009,55500.0,2009 Toyota Rav4 Rav 4,23
280,-2.86400908057,6200,2004,74000.0,"2004 Toyota Camry..Leather Interior, Clean Title!",23
281,-732.91561401,12800,2006,122000.0,"2006 Toyota Tacoma with 122,000 miles",23
282,1353.92179894,8950,2007,83500.0,"2007 Prius, 83K, Silver, Touring, Clean title",23
283,3401.86829008,18995,2006,113600.0,2006 Toyota Tacoma TRD extra cab,23
284,-79.5515267948,9500,2002,82000.0,"2002 Toyota 4Runner (4WD) clean title, must see",23
285,856.626836377,2900,2000,152672.0,2000 Toyota Corolla CE,23
286,319.853068807,5900,2007,183000.0,2007 Toyota prius 5900 or bestoffer,23
287,471.943365723,5900,2005,137000.0,2005 Toyota Prius in Great Shape,23
288,7630.39879801,12500,2005,157500.0,2005 Toyota Tacoma TRD PreRunner,23
289,916.775790895,9500,2009,74000.0,"2009 Toyota Corolla LE- Low Miles, Great Condition",23
290,973.177252733,7300,2007,150750.0,2007 Prius Excellent Original owner,23
291,1094.63421503,7900,2007,120000.0,"2007 Toyota Prius, Clean title, Well maintain",23
292,399.558069306,15699,2012,39000.0,"2012 Black Toyota Prius 39000miles, clean title, single owner",23
293,1340.01739329,9000,2007,120000.0,2007 toyota sienna LE,23
294,832.693830365,5200,2002,137100.0,2002 Toyota Sienna XLE with MP3/Video,23
295,176.472744233,8499,2005,167000.0,2005 Toyota Sequoia 4x4,23
296,-1317.18967448,3300,2004,152000.0,2004 Toyota Camry LE Great Deal Must See**,2
297,-1812.63006515,3500,2009,172000.0,Mechanic? Know cars? Newer car needs some lovin',2
298,-147.477598428,3700,2003,164540.0,TOYOTA CAMRY LE,2
299,-1268.04324948,2000,2001,99000.0,2001 Toyota Corolla Sedan CE/Silver/99k miles/Automatic only,2
300,1254.88829968,4500,1993,140000.0,Toyota pickup,2
301,-796.676711134,1850,2000,138000.0,2000 Toyota Camry,2
302,627.711765876,4500,2003,118000.0,2003 Toyota Corolla one owner for sell,2
303,817.579142002,5950,2003,159000.0,2003 Toyota Rav4 AWD,2
304,1117.579142,6250,2003,159000.0,2003 Toyota Rav4 AWD,2
305,514.29945815,7000,2003,105000.0,2003 Toyota MR2 Spyder Convertible w/ new powertrain and braking syste,2
306,-953.284888832,5000,2007,153451.0,"2007 TOYOTA CAMRY LE , 4 CYLINDER, AUTOMATIC, ONE OWNER! CLEAN CARFAX!",2
307,-188.376881859,5500,2005,120531.0,"2005 TOYOTA PRIUS, AUTOMATIC, ONLY 120 K. MILES, CLEAN CARFAX RECORD.",2
308,-1474.87876478,3200,2004,175496.0,2004 Toyota Avalon XLS,2
309,-1729.87817214,2295,2002,169000.0,02 Toyota Camry Solara Coupe,2
310,235.381846109,4200,2002,125235.0,2002 Toyota camry,2
311,-523.878167928,7950,2006,156021.0,2006 TOYOTA TOYOTA HIGHLANDER V6 VERY NICE THIRD SEAT,2
312,-1205.35528324,999,1997,134000.0,97 toyota 4runner,2
313,-1249.42811788,4500,2006,174184.0,2006 Toyota Sienna LE 8 passenger,2
314,1123.5002096,5295,2003,99000.0,2003 TOYOTA COROLLA,2
315,695.662209045,14995,2012,36000.0,"2012 Camry SE, Moonroof, blue tooth, new brakes, 36K miles",2
316,978.470940491,6995,2006,160000.0,2006 TOYOTA SIENNA AWD,2
317,1775.58973884,15795,2005,93990.0,2005 Toyota Tacoma V6 4dr Access Cab 4WD SB,2
318,-754.591594413,4900,2005,71000.0,05 TOYOTA COROLLA LE- 71 K MILES,2
319,305.52619917,4500,2003,115000.0,2003 Toyota Solara SE,2
320,-86.1422122074,6000,2006,128000.0,2006 Toyota Camry XLE,2
321,-379.8228306,8800,2008,117375.0,2008 Toyota RAV4 4WD * Remote Starter * Excellent Cond,2
322,6533.88548223,13999,2003,35235.0,"2003 Toyota Tacoma 4x4 Sr5 35,000 Miles",2
323,-370.969539883,2499,2002,146794.0,**2002 TOYOTA COROLLA 146K MILES**,2
324,2650.55806931,17950,2012,39500.0,2012 Toyota Prius 4 39k miles NAV one owner,2
325,1467.33943251,7900,2007,92000.0,2007 Toyota Corolla S - Very Clean -,2
326,-1202.05656067,4250,2005,132000.0,2005 TOYOTA PRIUS BASE 4 DOOR HATCHBACK NEW PAINT JOB & BATTERY,2
327,19.319021575,7700,2010,103000.0,2010 TOYOTA COROLLA LE,2
328,-1659.91411318,6600,2004,180899.0,2004 TOYOTA TACOMA EXT. CAB 4WD,2
329,-985.434215213,1450,2001,144000.0,2001 Toyota Corolla,2
330,286.539777972,5400,2002,142639.0,2002 TOYOTA RAV4 4WD,2
331,663.829950242,6500,2005,130000.0,2005 Toyotal Avalon Limited,2
332,180.699277978,7400,2007,102100.0,2007 Toyota Camry LE,2
333,-197.117864145,1795,2001,124476.0,01 Toyota Echo,2
334,789.678564083,6999,2005,116093.0,2005 Toyota Avalon 4dr Sedan XLS limited navigation loaded,2
335,-1222.64404734,13900,2010,102000.0,2010 Toyota Highlander 4WD - 102K Miles -,2
336,1076.09998857,7500,2003,73000.0,2003 TOYOTA RAV4 L 4WD - ONLY 73K ORIGINAL MILES,2
