url,token title,flag
http://cul.anhuinews.com/system/2008/12/25/002180268.shtml,"合肥 道士 岗 ： 远古文化 - 道士 岗 -
",neg
http://cul.anhuinews.com/system/2008/12/31/002184088.shtml,"徽州 茶道 之 配 具 - 茶道 -
",pos
http://cul.anhuinews.com/system/2009/01/04/002185419.shtml,"中国 第一 只 “ 白天鹅 ” 情 牵 花鼓 灯 - 花鼓 灯 -
",neg
http://cul.anhuinews.com/system/2009/01/07/002188132.shtml,"黟县 民居 楹联 亦 生辉 - 徽州 楹联 -
",pos
http://cul.anhuinews.com/system/2009/01/21/002195802.shtml,"70年 代 末 春节 的 改变 - 过年 -
",neg
http://cul.anhuinews.com/system/2009/01/21/002195803.shtml,"春节 娱乐 从 单调 走向 鲜活 - 过年 -
",neg
http://cul.anhuinews.com/system/2009/01/21/002195805.shtml,"春联 洋溢 着 时代 气息 - 过年 -
",neg
http://cul.anhuinews.com/system/2009/02/01/002198838.shtml,"含山县 78 岁 “ 乡村 儿歌 王 ” 出版 《 甜甜 的 新 儿歌 》 - 民歌 -
",neg
http://cul.anhuinews.com/system/2009/02/06/002203065.shtml,"徽派 戏曲 ： 东晋 时新 安 歌舞 已 蜚声 海内 - 徽派 戏曲 -
",pos
http://cul.anhuinews.com/system/2009/02/12/002207244.shtml,"小小 田块 四 方方 - 合肥 民谣 -
",neg
http://cul.anhuinews.com/system/2009/02/12/002207246.shtml,"采桑 - 合肥 民谣 -
",neg
http://cul.anhuinews.com/system/2009/02/13/002207976.shtml,"合肥 民俗 ： 吃 - 合肥 -
",neg
http://cul.anhuinews.com/system/2009/02/13/002207980.shtml,"合肥 习俗 ： 行 得 大 方 得体 - 合肥 -
",neg
http://cul.anhuinews.com/system/2009/03/02/002218893.shtml,"安徽 特色 顺口溜 - 安徽 -
",neg
http://cul.anhuinews.com/system/2009/03/03/002219675.shtml,"安徽省 淮南 地区 别具一格 的 闹洞房 - 闹洞房 -
",neg
http://cul.anhuinews.com/system/2009/03/11/002224249.shtml,"安徽 淮北 发现 汉代 古墓群 - 古墓 -
",neg
http://cul.anhuinews.com/system/2009/03/16/002227036.shtml,"淮北市 又 发现 古代 城墙 遗址 - 淮北 -
",neg
http://cul.anhuinews.com/system/2009/03/19/002228888.shtml,"中国 乡村 最 古老 的 公共 花园 徽州 水口 - 徽州 -
",neg
http://cul.anhuinews.com/system/2009/05/08/002253612.shtml,"10 单位 成 “ 徽 文化 ” 传习 基地 -
",neg
